mileage,make,model,fuel,gear,offerType,price,hp,year,encoded_make,encoded_model,encoded_fuel,encoded_gear,encoded_offerType,encoded_year
235000,BMW,316,Diesel,Manual,Used,6800,116.0,2011,8,33,2,1,4,0
92800,Volkswagen,Golf,Gasoline,Manual,Used,6877,122.0,2011,72,396,7,1,4,0
149300,SEAT,Exeo,Gasoline,Manual,Used,6900,160.0,2011,63,323,7,1,4,0
96200,Renault,Megane,Gasoline,Manual,Used,6950,110.0,2011,61,508,7,1,4,0
156000,Peugeot,308,Gasoline,Manual,Used,6950,156.0,2011,56,32,7,1,4,0
147000,Toyota,Auris,Electric/Gasoline,Automatic,Used,6950,99.0,2011,70,134,5,0,4,0
91894,Renault,Scenic,Diesel,Manual,Used,6970,131.0,2011,61,678,2,1,4,0
127500,Opel,Zafira,Gasoline,Manual,Used,6972,116.0,2011,54,818,7,1,4,0
115000,Mazda,3,Gasoline,Automatic,Used,6980,150.0,2011,47,26,7,0,4,0
104,Ford,Transit,Diesel,Manual,Used,6990,86.0,2011,29,740,2,1,4,0
59580,Opel,Meriva,Diesel,Automatic,Used,6990,101.0,2011,54,509,2,0,4,0
84000,Volkswagen,Golf,Gasoline,Manual,Used,6990,105.0,2011,72,396,7,1,4,0
427000,Mercedes-Benz,E 250,Diesel,Automatic,Used,6990,204.0,2011,49,299,2,0,4,0
109000,Chevrolet,Orlando,Gasoline,Manual,Used,6990,141.0,2011,14,550,7,1,4,0
194020,Audi,A4,Diesel,Manual,Used,6999,120.0,2011,7,104,2,1,4,0
72000,Volkswagen,Polo,Gasoline,Manual,Used,6999,60.0,2011,72,566,7,1,4,0
190000,Renault,Espace,Diesel,Manual,Used,6999,150.0,2011,61,321,2,1,4,0
190000,Renault,Grand Espace,Diesel,Manual,Used,6999,150.0,2011,61,410,2,1,4,0
85700,Fiat,Sedici,Diesel,Manual,Used,6999,135.0,2011,28,681,2,1,4,0
82000,Opel,Corsa,Gasoline,Manual,Used,7000,101.0,2011,54,274,7,1,4,0
44800,Kia,Picanto,Gasoline,Automatic,Used,7850,86.0,2012,37,563,7,0,4,1
81970,Volkswagen,Golf,Gasoline,Manual,Used,7850,105.0,2012,72,396,7,1,4,1
24000,Dacia,Duster,Gasoline,Manual,Used,7900,105.0,2012,22,296,7,1,4,1
193333,Volkswagen,Cross Touran,Diesel,Manual,Used,7900,105.0,2012,72,277,2,1,4,1
113000,Volkswagen,Beetle,Gasoline,Manual,Used,7900,105.0,2012,72,157,7,1,4,1
117000,Volkswagen,Golf Cabriolet,Gasoline,Manual,Used,7949,105.0,2012,72,397,7,1,4,1
299900,BMW,118,Diesel,Manual,Used,7950,143.0,2012,8,4,2,1,4,1
104250,Opel,Astra,Gasoline,Manual,Used,7950,140.0,2012,54,132,7,1,4,1
151250,Peugeot,308,Diesel,Manual,Used,7950,163.0,2012,56,32,2,1,4,1
133500,BMW,118,Diesel,Manual,Used,7980,143.0,2012,8,4,2,1,4,1
105000,Opel,Astra,Gasoline,Manual,Used,7980,179.0,2012,54,132,7,1,4,1
114164,Ford,Focus,Gasoline,Manual,Used,7990,125.0,2012,29,338,7,1,4,1
128000,MINI,One D Countryman,Diesel,Manual,Used,7990,90.0,2012,44,548,2,1,4,1
150000,BMW,118,Diesel,Manual,Used,7999,143.0,2012,8,4,2,1,4,1
160000,MINI,Cooper Clubman,Gasoline,Manual,Used,7999,122.0,2012,44,249,7,1,4,1
165000,Mercedes-Benz,B 180,Diesel,Manual,Used,8000,109.0,2012,49,145,2,1,4,1
51200,Renault,Scenic,Gasoline,Manual,Used,8000,131.0,2012,61,678,7,1,4,1
107000,Opel,Insignia,Diesel,Manual,Used,8000,160.0,2012,54,434,2,1,4,1
130000,MINI,One,Gasoline,Manual,Used,8000,98.0,2012,44,542,7,1,4,1
214000,BMW,320,Diesel,Automatic,Used,8199,184.0,2012,8,35,2,0,4,1
73760,Opel,Zafira,Gasoline,Manual,Used,8990,140.0,2013,54,818,7,1,4,2
113000,Volkswagen,Beetle,Gasoline,Manual,Used,8990,160.0,2013,72,157,7,1,4,2
108803,Hyundai,iX35,Diesel,Manual,Used,8990,116.0,2013,31,839,2,1,4,2
7400,Opel,Adam,Gasoline,Manual,Used,8990,101.0,2013,54,116,7,1,4,2
239211,BMW,520,Diesel,Automatic,Used,8990,184.0,2013,8,62,2,0,4,2
86980,Ford,B-Max,Gasoline,Manual,Used,8995,120.0,2013,29,149,7,1,4,2
98000,Volkswagen,Golf Variant,Diesel,Automatic,Used,8999,105.0,2013,72,402,2,0,4,2
98988,Ford,Transit,Diesel,Manual,Used,8999,101.0,2013,29,740,2,1,4,2
41124,Opel,Adam,Gasoline,Manual,Used,8999,101.0,2013,54,116,7,1,4,2
170000,Volkswagen,Touran,Diesel,Manual,Used,8999,140.0,2013,72,733,2,1,4,2
